City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,0,927,471,778,222,266,913,1358,1455,1036,862,1340,595,298,788,251,2887,1644,737,631,453,541,1136,995,762,902,965,1373,570,367,2237,2118,890,74,269,1823,1353,1230,1143,537,790,1115,1157,1224,1287,774,840,707,453,982
Brussels,927,0,1305,1686,1043,715,813,1597,1647,264,561,763,654,667,525,1179,2094,719,1172,763,893,982,1460,1467,180,131,111,1092,1179,1135,1676,1494,1818,995,922,1371,1123,1256,933,575,575,1902,2053,298,2133,1635,1656,1518,1361,1867
Sarajevo,471,1305,0,418,272,733,1380,1735,1840,1342,1045,1508,1066,642,1254,343,3337,2018,536,722,489,480,1505,1322,1126,1311,1366,1840,917,684,2305,2228,640,451,385,1865,1351,1668,1611,776,968,1188,1045,1601,835,330,372,237,194,919
Sofia,778,1686,418,0,647,1038,1612,1784,1895,1747,1463,1925,1335,1020,1548,545,3658,2404,908,1140,907,893,1558,1342,1511,1675,1735,2057,1012,811,2705,2638,266,726,787,2263,1745,1812,1835,1185,1386,989,716,1984,562,198,333,346,327,648
Zagreb,222,1043,272,647,0,469,1131,1565,1666,1101,849,1327,808,376,987,255,3065,1760,548,557,331,385,1341,1184,866,1042,1098,1591,760,535,2181,2082,816,235,154,1752,1256,1452,1362,547,772,1199,1157,1340,1107,598,643,505,331,1000
Prague,266,715,733,1038,469,0,670,1224,1311,873,803,1253,341,266,522,497,2622,1419,903,671,576,684,1019,928,572,667,734,1128,538,429,2182,2041,1126,312,445,1792,1366,1033,899,497,742,1212,1337,1003,1553,1040,1104,969,715,1152
Copenhagen,913,813,1380,1612,1131,670,0,789,834,1075,1243,1568,334,892,293,1083,2105,1267,1558,1255,1225,1336,683,763,814,686,737,460,686,814,2489,2306,1620,930,1114,2170,1849,448,230,1038,1214,1371,1671,957,2162,1660,1744,1616,1318,1486
Tallinn,1358,1597,1735,1784,1565,1224,789,0,111,1854,1965,2338,998,1490,1072,1392,2493,2018,2094,1893,1786,1888,230,445,1574,1472,1525,796,818,1051,3268,3091,1669,1330,1621,2931,2563,401,762,1702,1921,1072,1500,1742,2336,1911,2032,1935,1593,1360
Helsinki,1455,1647,1840,1895,1666,1311,834,111,0,1907,2036,2395,1068,1576,1123,1498,2435,2032,2189,1977,1878,1981,339,556,1634,1519,1569,777,923,1156,3322,3140,1780,1431,1717,2993,2638,410,776,1781,1995,1175,1606,1775,2447,2020,2141,2043,1701,1469
Paris,1036,264,1342,1747,1101,873,1075,1854,1907,0,403,499,888,745,784,1281,2198,714,1100,692,878,945,1709,1700,309,395,362,1351,1380,1301,1415,1238,1910,1109,960,1107,890,1519,1197,566,449,2084,2190,362,2143,1666,1665,1532,1432,2010
