City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,-,152,-,-,-,44,150,223,239,170,142,220,98,49,130,41,475,270,121,104,75,89,187,164,125,148,159,226,94,60,368,348,-,-,-,300,223,202,188,88,130,183,190,201,212,127,138,116,75,-
Brussels,152,-,-,-,-,118,134,263,271,43,92,126,108,110,86,194,344,118,193,126,147,162,240,241,30,22,18,180,194,187,276,246,-,-,-,226,185,207,153,95,95,313,338,49,351,269,272,250,224,-
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,44,118,-,-,-,-,110,201,216,144,132,206,56,44,86,82,431,233,149,110,95,113,168,153,94,110,121,186,89,71,359,336,-,-,-,295,225,170,148,82,122,199,220,165,255,171,182,159,118,-
Copenhagen,150,134,-,-,-,110,-,130,137,177,204,258,55,147,48,178,346,208,256,206,202,220,112,126,134,113,121,76,113,134,409,379,-,-,-,357,304,74,38,171,200,226,275,157,356,273,287,266,217,-
Tallinn,223,263,-,-,-,201,130,-,18,305,323,385,164,245,176,229,410,332,344,311,294,311,38,73,259,242,251,131,135,173,538,508,-,-,-,482,422,66,125,280,316,176,247,287,384,314,334,318,262,-
Helsinki,239,271,-,-,-,216,137,18,-,314,335,394,176,259,185,246,401,334,360,325,309,326,56,91,269,250,258,128,152,190,546,517,-,-,-,492,434,67,128,293,328,193,264,292,403,332,352,336,280,-
Paris,170,43,-,-,-,144,177,305,314,-,66,82,146,123,129,211,362,117,181,114,144,155,281,280,51,65,60,222,227,214,233,204,-,-,-,182,146,250,197,93,74,343,360,60,353,274,274,252,236,-
