City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,-,185,94,-,44,53,183,-,291,207,172,268,119,60,158,50,-,-,147,126,91,108,227,-,-,180,193,275,114,73,447,424,178,15,54,365,271,246,229,107,158,223,231,245,-,155,168,141,91,196
Brussels,185,-,261,-,209,143,163,-,329,53,112,153,131,133,105,236,-,-,234,153,179,196,292,-,-,26,22,218,236,227,335,299,364,199,184,274,225,251,187,115,115,380,411,60,-,327,331,304,272,373
Sarajevo,94,261,-,-,54,147,276,-,368,268,209,302,213,128,251,69,-,-,107,144,98,96,301,-,-,262,273,368,183,137,461,446,128,90,77,373,270,334,322,155,194,238,209,320,-,66,74,47,39,184
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,44,209,54,-,-,94,226,-,333,220,170,265,162,75,197,51,-,-,110,111,66,77,268,-,-,208,220,318,152,107,436,416,163,47,31,350,251,290,272,109,154,240,231,268,-,120,129,101,66,200
Prague,53,143,147,-,94,-,134,-,262,175,161,251,68,53,104,99,-,-,181,134,115,137,204,-,-,133,147,226,108,86,436,408,225,62,89,358,273,207,180,99,148,242,267,201,-,208,221,194,143,230
Copenhagen,183,163,276,-,226,134,-,-,167,215,249,314,67,178,59,217,-,-,312,251,245,267,137,-,-,137,147,92,137,163,498,461,324,186,223,434,370,90,46,208,243,274,334,191,-,332,349,323,264,297
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,291,329,368,-,333,262,167,-,-,381,407,479,214,315,225,300,-,-,438,395,376,396,68,-,-,304,314,155,185,231,664,628,356,286,343,599,528,82,155,356,399,235,321,355,-,404,428,409,340,294
Paris,207,53,268,-,220,175,215,-,381,-,81,100,178,149,157,256,-,-,220,138,176,189,342,-,-,79,72,270,276,260,283,248,382,222,192,221,178,304,239,113,90,417,438,72,-,333,333,306,286,402
