City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,-,12,6,10,3,3,11,17,-,13,11,17,7,4,10,3,-,-,9,8,6,7,14,12,10,11,12,-,7,5,-,26,11,1,3,23,17,15,14,7,10,14,14,15,16,10,-,-,6,12
Brussels,12,-,16,21,13,9,10,20,-,3,7,10,8,8,7,15,-,-,15,10,11,12,18,18,2,2,1,-,15,14,-,19,23,12,12,17,14,16,12,7,7,24,26,4,27,20,-,-,17,23
Sarajevo,6,16,-,5,3,9,17,22,-,17,13,19,13,8,16,4,-,-,7,9,6,6,19,17,14,16,17,-,11,9,-,28,8,6,5,23,17,21,20,10,12,15,13,20,10,4,-,-,2,11
Sofia,10,21,5,-,8,13,20,22,-,22,18,24,17,13,19,7,-,-,11,14,11,11,19,17,19,21,22,-,13,10,-,33,3,9,10,28,22,23,23,15,17,12,9,25,7,2,-,-,4,8
Zagreb,3,13,3,8,-,6,14,20,-,14,11,17,10,5,12,3,-,-,7,7,4,5,17,15,11,13,14,-,10,7,-,26,10,3,2,22,16,18,17,7,10,15,14,17,14,7,-,-,4,12
Prague,3,9,9,13,6,-,8,15,-,11,10,16,4,3,7,6,-,-,11,8,7,9,13,12,7,8,9,-,7,5,-,26,14,4,6,22,17,13,11,6,9,15,17,13,19,13,-,-,9,14
Copenhagen,11,10,17,20,14,8,-,10,-,13,16,20,4,11,4,14,-,-,19,16,15,17,9,10,10,9,9,-,9,10,-,29,20,12,14,27,23,6,3,13,15,17,21,12,27,21,-,-,16,19
Tallinn,17,20,22,22,20,15,10,-,-,23,25,29,12,19,13,17,-,-,26,24,22,24,3,6,20,18,19,-,10,13,-,39,21,17,20,37,32,5,10,21,24,13,19,22,29,24,-,-,20,17
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paris,13,3,17,22,14,11,13,23,-,-,5,6,11,9,10,16,-,-,14,9,11,12,21,21,4,5,5,-,17,16,-,15,24,14,12,14,11,19,15,7,6,26,27,5,27,21,-,-,18,25
