City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,-,2,-,-,-,-,2,2,3,2,2,2,1,1,1,-,5,3,1,1,1,1,2,2,1,2,2,2,1,1,4,4,-,-,-,3,2,2,2,1,1,2,2,2,2,1,1,1,1,-
Brussels,2,-,-,-,-,1,1,3,3,-,1,1,1,1,1,2,4,1,2,1,2,2,3,3,-,-,-,2,2,2,3,3,-,-,-,2,2,2,2,1,1,3,4,1,4,3,3,3,2,-
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,-,1,-,-,-,-,1,2,2,2,1,2,1,-,1,1,5,3,2,1,1,1,2,2,1,1,1,2,1,1,4,4,-,-,-,3,2,2,2,1,1,2,2,2,3,2,2,2,1,-
Copenhagen,2,1,-,-,-,1,-,1,1,2,2,3,1,2,1,2,4,2,3,2,2,2,1,1,1,1,1,1,1,1,4,4,-,-,-,4,3,1,-,2,2,2,3,2,4,3,3,3,2,-
Tallinn,2,3,-,-,-,2,1,-,-,3,3,4,2,3,2,2,4,4,4,3,3,3,-,1,3,3,3,1,1,2,6,5,-,-,-,5,5,1,1,3,3,2,3,3,4,3,4,3,3,-
Helsinki,3,3,-,-,-,2,1,-,-,3,4,4,2,3,2,3,4,4,4,3,3,3,1,1,3,3,3,1,2,2,6,6,-,-,-,5,5,1,1,3,4,2,3,3,4,4,4,4,3,-
Paris,2,-,-,-,-,2,2,3,3,-,1,1,2,1,1,2,4,1,2,1,2,2,3,3,1,1,1,2,2,2,2,2,-,-,-,2,2,3,2,1,1,4,4,1,4,3,3,3,3,-
Lyon,2,1,-,-,-,1,2,3,4,1,-,1,2,1,2,2,5,2,1,1,1,1,3,3,1,1,1,3,2,2,2,2,-,-,-,2,1,3,2,1,-,3,4,1,3,2,2,2,2,-
Bordeaux,2,1,-,-,-,2,3,4,4,1,1,-,2,2,2,3,4,2,2,1,2,2,4,4,1,2,2,3,3,3,2,1,-,-,-,1,1,4,3,1,1,4,4,1,4,3,3,3,3,-
Berlin,1,1,-,-,-,1,1,2,2,2,2,2,-,1,-,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,-,-,-,3,3,1,1,1,2,2,3,2,3,2,3,2,2,-
Munich,1,1,-,-,-,-,2,3,3,1,1,2,1,-,1,1,5,2,1,1,1,1,2,2,1,1,1,2,1,1,3,3,-,-,-,3,2,2,2,-,1,2,3,2,3,2,2,2,1,-
