City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Vienna,-,8,4,-,2,2,8,-,12,9,7,11,5,2,7,2,-,-,6,5,4,5,9,-,-,8,8,11,5,3,19,18,7,1,2,15,11,10,10,4,7,9,10,10,-,6,7,6,4,8
Brussels,8,-,11,-,9,6,7,-,14,2,5,6,5,6,4,10,-,-,10,6,7,8,12,-,-,1,1,9,10,9,14,12,15,8,8,11,9,10,8,5,5,16,17,2,-,14,14,13,11,16
Sarajevo,4,11,-,-,2,6,12,-,15,11,9,13,9,5,10,3,-,-,4,6,4,4,13,-,-,11,11,15,8,6,19,19,5,4,3,16,11,14,13,6,8,10,9,13,-,3,3,2,2,8
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,2,9,2,-,-,4,9,-,14,9,7,11,7,3,8,2,-,-,5,5,3,3,11,-,-,9,9,13,6,4,18,17,7,2,1,15,10,12,11,5,6,10,10,11,-,5,5,4,3,8
Prague,2,6,6,-,4,-,6,-,11,7,7,10,3,2,4,4,-,-,8,6,5,6,8,-,-,6,6,9,4,4,18,17,9,3,4,15,11,9,7,4,6,10,11,8,-,9,9,8,6,10
Copenhagen,8,7,12,-,9,6,-,-,7,9,10,13,3,7,2,9,-,-,13,10,10,11,6,-,-,6,6,4,6,7,21,19,14,8,9,18,15,4,2,9,10,11,14,8,-,14,15,13,11,12
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,12,14,15,-,14,11,7,-,-,16,17,20,9,13,9,12,-,-,18,16,16,17,3,-,-,13,13,6,8,10,28,26,15,12,14,25,22,3,6,15,17,10,13,15,-,17,18,17,14,12
Paris,9,2,11,-,9,7,9,-,16,-,3,4,7,6,7,11,-,-,9,6,7,8,14,-,-,3,3,11,12,11,12,10,16,9,8,9,7,13,10,5,4,17,18,3,-,14,14,13,12,17
Lyon,7,5,9,-,7,7,10,-,17,3,-,4,8,5,8,9,-,-,6,3,5,5,15,-,-,6,6,13,11,10,12,10,14,8,6,8,5,14,12,3,1,16,17,6,-,11,11,10,10,15
Bordeaux,11,6,13,-,11,10,13,-,20,4,4,-,11,9,11,13,-,-,9,7,9,9,18,-,-,7,7,15,15,14,8,7,18,12,10,5,4,17,14,7,5,20,21,7,-,15,15,14,14,19
Berlin,5,5,9,-,7,3,3,-,9,7,8,11,-,5,2,7,-,-,10,8,7,8,7,-,-,5,5,7,5,5,19,18,12,5,7,16,13,6,5,6,8,11,13,7,-,11,12,11,9,11
Munich,2,6,5,-,3,2,7,-,13,6,5,9,5,-,6,4,-,-,6,3,3,4,11,-,-,6,6,11,7,5,16,15,10,3,2,13,9,11,9,2,4,12,12,8,-,8,8,7,6,11
Hamburg,7,4,10,-,8,4,2,-,9,7,8,11,2,6,-,8,-,-,11,8,8,9,8,-,-,3,4,6,6,7,18,17,13,7,8,16,13,6,4,7,8,12,14,6,-,13,14,12,10,13
Budapest,2,10,3,-,2,4,9,-,12,11,9,13,7,4,8,-,-,-,7,7,5,5,10,-,-,10,10,13,5,3,20,19,5,2,3,17,13,11,11,6,8,8,8,12,-,5,6,5,2,6
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,6,10,4,-,5,8,13,-,18,9,6,9,10,6,11,7,-,-,-,3,3,2,16,-,-,10,11,17,11,9,15,15,10,6,4,11,7,16,15,5,5,14,13,12,-,6,6,5,6,12
Milan,5,6,6,-,5,6,10,-,16,6,3,7,8,3,8,7,-,-,3,-,2,2,14,-,-,7,7,14,10,8,14,13,11,6,3,10,6,14,12,2,2,14,14,9,-,9,8,7,7,13
Venice,4,7,4,-,3,5,10,-,16,7,5,9,7,3,8,5,-,-,3,2,-,1,13,-,-,8,8,14,9,7,15,15,9,4,2,12,8,13,12,3,4,13,12,10,-,7,7,5,5,11
Florence,5,8,4,-,3,6,11,-,17,8,5,9,8,4,9,5,-,-,2,2,1,-,14,-,-,9,9,15,9,8,15,15,9,5,2,12,7,14,13,3,4,13,13,10,-,6,6,5,5,11
Riga,9,12,13,-,11,8,6,-,3,14,15,18,7,11,8,10,-,-,16,14,13,14,-,-,-,11,12,7,5,7,26,25,12,9,12,23,20,3,6,13,14,8,11,14,-,14,15,14,11,10
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amsterdam,8,1,11,-,9,6,6,-,13,3,6,7,5,6,3,10,-,-,10,7,8,9,11,-,-,-,1,8,9,9,15,14,15,8,8,13,10,9,7,5,6,15,17,3,-,14,14,13,11,15
Rotterdam,8,1,11,-,9,6,6,-,13,3,6,7,5,6,4,10,-,-,11,7,8,9,12,-,-,1,-,8,10,9,15,13,15,9,8,12,10,10,7,6,6,16,17,2,-,14,14,13,12,16
Oslo,11,9,15,-,13,9,4,-,6,11,13,15,7,11,6,13,-,-,17,14,14,15,7,-,-,8,8,-,9,10,23,21,17,12,13,20,18,3,2,12,13,14,17,9,-,18,18,17,15,16
Warsaw,5,10,8,-,6,4,6,-,8,12,11,15,5,7,6,5,-,-,11,10,9,9,5,-,-,9,10,9,-,2,23,21,8,4,7,19,16,7,7,9,11,6,8,12,-,9,10,9,7,7
Krakow,3,9,6,-,4,4,7,-,10,11,10,14,5,5,7,3,-,-,9,8,7,8,7,-,-,9,9,10,2,-,22,20,7,3,5,18,14,8,9,7,9,7,8,12,-,7,8,7,5,6
Lisbon,19,14,19,-,18,18,21,-,28,12,12,8,19,16,18,20,-,-,15,14,15,15,26,-,-,15,15,23,23,22,-,2,25,19,17,4,8,24,22,14,12,28,28,13,-,21,21,20,21,27
Porto,18,12,19,-,17,17,19,-,26,10,10,7,18,15,17,19,-,-,15,13,15,15,25,-,-,14,13,21,21,20,2,-,24,18,16,4,8,23,20,13,11,27,27,12,-,21,20,19,20,26
Bucharest,7,15,5,-,7,9,14,-,15,16,14,18,12,10,13,5,-,-,10,11,9,9,12,-,-,15,15,17,8,7,25,24,-,7,8,21,17,15,15,11,13,6,4,18,-,4,5,5,4,3
Bratislava,1,8,4,-,2,3,8,-,12,9,8,12,5,3,7,2,-,-,6,6,4,5,9,-,-,8,9,12,4,3,19,18,7,-,3,16,12,10,10,5,7,9,9,11,-,6,7,6,3,8
Ljubljana,2,8,3,-,1,4,9,-,14,8,6,10,7,2,8,3,-,-,4,3,2,2,12,-,-,8,8,13,7,5,17,16,8,3,-,13,9,12,11,3,5,11,11,10,-,6,6,5,4,10
Madrid,15,11,16,-,15,15,18,-,25,9,8,5,16,13,16,17,-,-,11,10,12,12,23,-,-,13,12,20,19,18,4,4,21,16,13,-,4,22,19,11,9,24,24,11,-,18,17,16,17,23
Barcelona,11,9,11,-,10,11,15,-,22,7,5,4,13,9,13,13,-,-,7,6,8,7,20,-,-,10,10,18,16,14,8,8,17,12,9,4,-,19,17,7,5,20,20,10,-,13,13,12,13,19
Stockholm,10,10,14,-,12,9,4,-,3,13,14,17,6,11,6,11,-,-,16,14,13,14,3,-,-,9,10,3,7,8,24,23,15,10,12,22,19,-,3,12,14,11,14,11,-,16,17,16,13,13
Gothenburg,10,8,13,-,11,7,2,-,6,10,12,14,5,9,4,11,-,-,15,12,12,13,6,-,-,7,7,2,7,9,22,20,15,10,11,19,17,3,-,10,12,13,15,8,-,16,16,15,13,14
Zurich,4,5,6,-,5,4,9,-,15,5,3,7,6,2,7,6,-,-,5,2,3,3,13,-,-,5,6,12,9,7,14,13,11,5,3,11,7,12,10,-,2,14,14,7,-,9,9,8,7,13
Geneva,7,5,8,-,6,6,10,-,17,4,1,5,8,4,8,8,-,-,5,2,4,4,14,-,-,6,6,13,11,9,12,11,13,7,5,9,5,14,12,2,-,16,16,7,-,11,10,9,9,15
Kyiv,9,16,10,-,10,10,11,-,10,17,16,20,11,12,12,8,-,-,14,14,13,13,8,-,-,15,16,14,6,7,28,27,6,9,11,24,20,11,13,14,16,-,4,18,-,10,11,11,8,3
Odessa,10,17,9,-,10,11,14,-,13,18,17,21,13,12,14,8,-,-,13,14,12,13,11,-,-,17,17,17,8,8,28,27,4,9,11,24,20,14,15,14,16,4,-,19,-,8,9,9,7,2
London,10,2,13,-,11,8,8,-,15,3,6,7,7,8,6,12,-,-,12,9,10,10,14,-,-,3,2,9,12,12,13,12,18,11,10,11,10,11,8,7,7,18,19,-,-,16,16,15,14,18
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Skopje,6,14,3,-,5,9,14,-,17,14,11,15,11,8,13,5,-,-,6,9,7,6,14,-,-,14,14,18,9,7,21,21,4,6,6,18,13,16,16,9,11,10,8,16,-,-,1,1,3,7
Tirana,7,14,3,-,5,9,15,-,18,14,11,15,12,8,14,6,-,-,6,8,7,6,15,-,-,14,14,18,10,8,21,20,5,7,6,17,13,17,16,9,10,11,9,16,-,1,-,1,4,8
Podgorica,6,13,2,-,4,8,13,-,17,13,10,14,11,7,12,5,-,-,5,7,5,5,14,-,-,13,13,17,9,7,20,19,5,6,5,16,12,16,15,8,9,11,9,15,-,1,1,-,3,8
Belgrade,4,11,2,-,3,6,11,-,14,12,10,14,9,6,10,2,-,-,6,7,5,5,11,-,-,11,12,15,7,5,21,20,4,3,4,17,13,13,13,7,9,8,7,14,-,3,4,3,-,6
Chisinau,8,16,8,-,8,10,12,-,12,17,15,19,11,11,13,6,-,-,12,13,11,11,10,-,-,15,16,16,7,6,27,26,3,8,10,23,19,13,14,13,15,3,2,18,-,7,8,8,6,-
